"Species","SpecGen","AltitudeNiche","WaterNiche","Range","FutureScenario","x","y","Vulnerability","Elevation","Precipitation","Temperature","Rugosity","Corridor_Strength","Habitat_Suitability","Start_Distance","Permuted_CorridorStr","Niche","logCrStr","logPermutedCrStr","jittered_x","jittered_y","Max_resilience","local_moran_I","local_moran_p","significant_cluster","Moran_type"
"HDlong","Specialist","High","Dry","long","ssp126",-1033133.21325032,2163153.04927674,3810.94921875,1185,2917.08203125,21.0035915374756,33.6198234558105,20.1565036773682,27.6823253631592,6817.45703125,69.7447814941406,"HD",3.0035269994607,4.24484260061422,-1033133.21323941,2163153.04929045,0,0.0438991457366861,0.0273921550138071,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-977747.115864305,2257204.91276242,522.510375976562,777,2312.43627929688,22.6642971038818,38.1464042663574,19.419713973999,67.7562103271484,2955.76489257812,39.7698249816895,"HD",2.96628873433036,3.68310845844777,-977747.11585735,2257204.91275979,0,0.0795926285689169,0.000520903686423737,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-959981.763872565,2276015.28545955,5451.89990234375,624,2181.61376953125,23.8552646636963,62.9756126403809,49.4455718994141,36.8574028015137,9751.064453125,177.991836547852,"HD",3.90087250703011,5.18173768714967,-959981.763867664,2276015.28546592,0,0.0411465032854964,0.00574610395855304,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-901460.604370364,2256159.89205702,6583.58056640625,463,2498.03393554688,24.7932262420654,17.4480724334717,29.6544246673584,26.2717514038086,9844.7265625,194.067016601562,"HD",3.38961134423783,5.26820354581026,-901460.604368668,2256159.89204924,0,0.0377626616163858,0.00215971778664645,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-1005962.67491001,2191368.60832244,5458.67236328125,1237,2707.056640625,20.1286582946777,70.975341796875,17.6141986846924,19.4625434875488,2456.53125,43.1909828186035,"HD",2.86870532024996,3.76563174241186,-1005962.67490693,2191368.60832708,0,0.0475463032693933,0.00129593091924579,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-915045.873540518,2338716.52778334,348.340240478516,770,2195.39331054688,23.4153175354004,77.0493621826172,195.080688476562,47.3225784301758,12183.55859375,131.678573608398,"HD",5.27341326003678,4.88036390461309,-915045.873556419,2338716.52776673,0,0.0557651126972531,0.258870808279897,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-936991.308353843,2116127.1175339,22465.880859375,387,3330.3115234375,25.6418609619141,69.1625823974609,24.6087303161621,2.00457382202148,47560.71875,218.994491577148,"HD",3.20310127088033,5.38904657688441,-936991.308355992,2116127.1175312,0,0.0772318391951137,0.159366435001699,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-948486.536113204,2141207.61446341,13355.9921875,953,3057.08178710938,22.7154655456543,102.48722076416,84.4916687011719,37.4654884338379,29855.767578125,23.7876510620117,"HD",4.43665293424989,3.16916658308079,-948486.536117302,2141207.61445187,0,-0.00392713006296112,0.325187500092622,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-964161.846694151,2227944.33301132,1360.31213378906,560,2681.92529296875,24.1550159454346,60.2896041870117,406.761383056641,63.107479095459,1045.02075195312,49.6263160705566,"HD",6.00822673109574,3.90452125896918,-964161.8466913,2227944.33301928,0,0.0693575684041804,0.00125031666560562,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-927586.122005275,1918618.20421397,117407.1015625,863,3106.03198242188,23.2327785491943,31.4297275543213,16.8718414306641,36.1378364562988,17122.59765625,22.9897689819336,"HD",2.8256460447601,3.13504929009187,-927586.121991603,1918618.2041997,0,-0.594725456751495,0.227001072863135,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-985062.26080208,2197638.73255482,1791.40661621094,1234,2655.82299804688,20.4323463439941,92.0771942138672,132.461959838867,27.8413944244385,16037.8642578125,29.3055629730225,"HD",4.88629550865074,3.3777773605619,-985062.260792161,2197638.73254797,0,0.0715880063179297,0.000566105956818375,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-1046718.48242047,2200773.79467101,3517.89477539062,835,2763.84350585938,23.1333522796631,46.8444557189941,66.1558532714844,90.2230529785156,4459.2841796875,649.443420410156,"HD",4.19201337147611,6.47611571978366,-1046718.48243724,2200773.79467459,0,0.0561457725485626,0.00489308997947097,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-986107.281507477,2260339.97487861,6781.52783203125,712,2270.07055664062,23.246618270874,58.0138320922852,25.0598735809326,60.392162322998,8291.3505859375,27.2580680847168,"HD",3.22126790479968,3.30534955379062,-986107.281503429,2260339.97489325,0,0.0383261433309984,0.000606688046469682,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-838759.362046577,2303185.82379986,7742.58154296875,238,2393.28833007812,25.9127731323242,56.5718841552734,23.7763977050781,2.54022336006165,7389.412109375,97.8491363525391,"HD",3.16869339556058,4.58342686756439,-838759.362051078,2303185.8238204,0,-0.0102824885657691,0.630395968364202,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-961026.784577962,2208088.93960878,4463.46630859375,757,2728.22875976562,23.4860610961914,95.2327117919922,30.3414859771729,86.3872833251953,12373.513671875,254.892776489258,"HD",3.41251595021519,5.54084297237424,-961026.784585263,2208088.939617,0,0.0510662042659973,0.00108488909174035,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-973567.033042719,2218539.14666275,1782.34289550781,960,2620.98828125,23.0927753448486,92.4871215820312,43.6034469604492,88.6790313720703,1045.02075195312,155.265579223633,"HD",3.77513620595591,5.04513706504549,-973567.033045907,2218539.14665126,0,0.0762360930075106,0.000341471369411711,TRUE,"clustering"
