"Species","SpecGen","AltitudeNiche","WaterNiche","Range","FutureScenario","x","y","Vulnerability","Elevation","Precipitation","Temperature","Rugosity","Corridor_Strength","Habitat_Suitability","Start_Distance","Permuted_CorridorStr","Niche","logCrStr","logPermutedCrStr","jittered_x","jittered_y","Max_resilience","local_moran_I","local_moran_p","significant_cluster","Moran_type"
"HDlong","Specialist","High","Dry","long","ssp126",-1025818.06831254,2173603.2563307,1750.38806152344,1173,2878.87182617188,21.713264465332,46.8497581481934,21.5794010162354,48.5729331970215,3452.25170898438,281.264617919922,"HD",3.07173920301453,5.63929592699437,-1025818.06830488,2173603.25632209,0,0.0584729301992332,0.0116546893023295,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-917135.914951311,2441128.55691219,5226.84033203125,839,2311.74951171875,24.2275485992432,95.3834915161133,30.3007774353027,49.8657150268555,14373.2412109375,48.985164642334,"HD",3.41117337011695,3.89151748986749,-917135.914957019,2441128.55693117,0,-0.0210382219152505,0.57492754276871,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-788598.368187548,2243619.64359226,23588.0390625,69,1988.67919921875,26.5679874420166,18.6529426574707,48.985164642334,1.00412368774414,16395.345703125,83.2262268066406,"HD",3.89151748986749,4.42156252419523,-788598.36818499,2243619.64360167,0,0.0789575687152166,0.214895752104522,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-917135.914951311,2344986.65201572,870.8505859375,941,2209.02172851562,22.340295791626,106.417663574219,47.8100814819336,47.8313102722168,5474.1865234375,58.4207572937012,"HD",3.86723652692298,4.06767125979412,-917135.914952147,2344986.65202536,0,0.0492318334424023,0.303261421799942,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-948486.536113204,2141207.61446341,13355.9921875,953,3057.08178710938,22.7154655456543,102.48722076416,84.4916687011719,37.4654884338379,29855.767578125,23.7876510620117,"HD",4.43665293424989,3.16916658308079,-948486.536117302,2141207.61445187,0,-0.00392713006296112,0.325187500092622,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-789643.388892944,2243619.64359226,23286.447265625,71,1994.22814941406,26.6594181060791,12.160249710083,48.985164642334,1.00358331203461,17429.78125,207.969482421875,"HD",3.89151748986749,5.33739134981141,-789643.388888218,2243619.64358705,0,0.0745389738566179,0.218658748037013,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-977747.115864305,2143297.6558742,9625.052734375,1032,3088.37109375,22.329610824585,93.1932373046875,17.7631969451904,31.8329906463623,2090.04150390625,18.4503231048584,"HD",2.87712872953963,2.91508188279164,-977747.115874749,2143297.65588196,0,0.0123183084431817,0.0649857614937947,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-856524.714038317,2266610.09911098,12913.3642578125,365,2345.71313476562,25.1265544891357,64.7378005981445,75.3443450927734,10.9398345947266,25389.693359375,76.1939926147461,"HD",4.3220688737197,4.33328262250797,-856524.714058209,2266610.09910854,0,-0.00293994292490348,0.143139407074789,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-1008052.7163208,2269745.16122717,2799.77856445312,812,2305.05004882812,23.2128486633301,93.8127899169922,52.0485954284668,62.7845153808594,6296.5302734375,43.1485557556152,"HD",3.95217780965301,3.76464894664751,-1008052.71631396,2269745.16123134,0,0.0635880376233813,0.00310110387423502,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-824129.072171027,2274970.26475416,10843.9345703125,887,2310.16625976562,23.038257598877,66.5512161254883,29.3006553649902,66.6672973632812,10187.4697265625,34.5904235839844,"HD",3.37760988317868,3.54357686872505,-824129.072189477,2274970.26473558,0,0.00137594726995928,0.862102530632401,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-922361.018478293,2106721.93118533,27013.578125,54,3295.86279296875,26.9534778594971,26.9364986419678,29.6157665252686,1.00171828269958,30666.59765625,35.3623199462891,"HD",3.38830687240152,3.565646844958,-922361.018499097,2106721.93117554,0,0.211630933472638,0.0211355153636849,TRUE,"clustering"
