"Species","SpecGen","AltitudeNiche","WaterNiche","Range","FutureScenario","x","y","Vulnerability","Elevation","Precipitation","Temperature","Rugosity","Corridor_Strength","Habitat_Suitability","Start_Distance","Permuted_CorridorStr","Niche","logCrStr","logPermutedCrStr","jittered_x","jittered_y"
"HDlong","Specialist","High","Dry","long","ssp126",-946396.494702411,2273925.24404876,174.170120239258,567,2261.07080078125,24.1403884887695,71.8809432983398,23.5076713562012,37.6186294555664,4433.6474609375,274.342681884766,"HD",3.15732680856936,5.61437798877257,-946396.494705535,2273925.24406434
"HDlong","Specialist","High","Dry","long","ssp126",-915045.873540518,2415003.03927728,0,1345,2394.61328125,22.295389175415,124.136009216309,239.352645874023,62.8348846435547,18628.2109375,145.856842041016,"HD",5.47793797019155,4.98262560670479,-915045.873519099,2415003.03925488
"HDlong","Specialist","High","Dry","long","ssp126",-1046718.48242047,2189278.56691165,2856.60229492188,951,2784.7841796875,22.3326263427734,69.6166763305664,99.5608139038086,74.1671524047852,4433.6474609375,521.206298828125,"HD",4.6007686524741,6.25614593041965,-1046718.48244328,2189278.56689696
"HDlong","Specialist","High","Dry","long","ssp126",-856524.714038317,2324086.23790779,11898.0380859375,299,2500.25170898438,25.5349445343018,28.8639698028564,22.0760631561279,3.07893228530884,20341.51953125,57.1008186340332,"HD",3.09449390642331,4.04481845340741,-856524.714035889,2324086.23789737
"HDlong","Specialist","High","Dry","long","ssp126",-862794.838270696,2266610.09911098,9870.83984375,624,2358.84057617188,23.7384643554688,25.9584350585938,119.980743408203,63.5807762145996,20396.755859375,75.7626342773438,"HD",4.78733125830679,4.32760521962157,-862794.838258787,2266610.09910915
"HDlong","Specialist","High","Dry","long","ssp126",-888920.355905607,2381562.37670459,13433.3203125,269,2525.00048828125,25.3364601135254,45.7761535644531,23.1126346588135,5.60360097885132,23017.15625,28.2738647460938,"HD",3.14037942292941,3.34193787074852,-888920.355906478,2381562.3767196
"HDlong","Specialist","High","Dry","long","ssp126",-1046718.48242047,2140162.59375801,13356.9296875,1117,3082.0615234375,21.3746471405029,36.2152671813965,30.9493103027344,22.4228782653809,5355.61279296875,48.985164642334,"HD",3.43235071464109,3.89151748986749,-1046718.48242883,2140162.5937554
"HDlong","Specialist","High","Dry","long","ssp126",-953711.639640187,2073281.26861264,40812.12890625,759,3310.74975585938,23.8555374145508,70.5005493164062,19.8044815063477,10.5085639953613,26977.79296875,62.7607612609863,"HD",2.98590825079418,4.13933005750743,-953711.639646589,2073281.26861588
"HDlong","Specialist","High","Dry","long","ssp126",-863839.858976092,2251979.80923543,6099.05029296875,850,2396.29760742188,22.8232383728027,59.1475448608398,30.1781921386719,80.3801574707031,4863.62890625,189.083480834961,"HD",3.40711954891697,5.24218861507947,-863839.858974559,2251979.80922869
"HDlong","Specialist","High","Dry","long","ssp126",-823084.05146563,2243619.64359226,15089.1044921875,139,2193.83666992188,26.3243007659912,19.1392440795898,48.985164642334,1.07039105892181,37588.43359375,28.0490894317627,"HD",3.89151748986749,3.33395616911604,-823084.051457296,2243619.64359501
