"","x","y","Real","Observed"
"271854",118.2125,5.42083333333333,0,0
"432785",118.454166666667,4.37083333333333,0,0
"1531747",113.995833333333,-2.80416666666667,0,0
"577855",114.220833333334,3.42083333333333,0,0
"556302",115.520833333334,3.56249999999999,0,0
"1089778",112.9375,0.0791666666666622,0,0
"1199553",112.545833333333,-0.637500000000005,0,0
"1520504",116.079166666667,-2.72916666666667,0,0
"1214724",111.270833333333,-0.737500000000004,0,0
"1221312",112.9625,-0.779166666666671,0,0
"769573",115.620833333334,2.17083333333333,0,0
"710938",116.5125,2.55416666666666,0,0
"301142",117.520833333334,5.22916666666666,0,0
"1474317",114.2875,-2.42916666666667,0,0
"862584",113.870833333333,1.56249999999999,0,0
"1232463",110.1125,-0.854166666666671,0,0
"658409",115.079166666667,2.89583333333333,0,0
"1239205",113.0875,-0.895833333333338,0,0
"317509",115.570833333334,5.12083333333333,0,0
"915712",109.654166666667,1.2125,0,0
"1617127",112.504166666667,-3.3625,0,0
"853658",113.979166666667,1.62083333333333,0,0
"1009488",114.279166666667,0.604166666666662,0,0
"1289203",114.7125,-1.22083333333334,0,0
"1660978",116.1125,-3.64583333333334,0,0
"1355724",115.6875,-1.65416666666667,0,0
"787550",116.445833333334,2.05416666666666,0,0
"1041620",116.004166666667,0.395833333333329,0,0
"954903",116.995833333334,0.962499999999995,0,0
"776754",111.6125,2.12083333333333,0,0
"1508847",114.7125,-2.65416666666667,0,0
"1332181",111.045833333333,-1.50416666666667,0,0
"425010",117.5125,4.42083333333333,0,0
"1289270",115.270833333334,-1.22083333333334,0,0
"1168936",112.804166666667,-0.437500000000004,0,0
"830981",116.554166666667,1.77083333333333,0,0
"1523863",112.145833333333,-2.75416666666667,0,0
"1023662",115.3375,0.512499999999995,0,0
"1496112",115.004166666667,-2.57083333333334,0,0
"887016",115.279166666667,1.40416666666666,0,0
"1024489",111.5875,0.504166666666662,0,0
"762063",116.8875,2.22083333333333,0,0
"994043",113.270833333333,0.704166666666661,0,0
"1107865",114.679166666667,-0.037500000000005,0,0
"1294498",116.270833333334,-1.25416666666667,0,0
"994206",114.629166666667,0.704166666666661,0,0
"939566",116.8875,1.06249999999999,0,0
"625019",113.5125,3.11249999999999,0,0
"1117543",110.195833333333,-0.104166666666671,0,0
"371256",116.5125,4.77083333333333,1,1
"668783",116.395833333334,2.82916666666666,1,1
"1394714",110.7125,-1.9125,0,0
"737776",116.6875,2.37916666666666,0,0
"1420290",111.0125,-2.07916666666667,0,0
"409625",117.004166666667,4.52083333333333,1,1
"1559606",112.0375,-2.9875,0,0
"1221799",117.020833333334,-0.779166666666671,0,0
"834277",112.095833333333,1.74583333333333,0,0
"1559466",110.870833333333,-2.9875,0,0
"1178809",109.945833333333,-0.504166666666672,0,0
"832709",109.670833333333,1.75416666666666,0,0
"354630",116.304166666667,4.87916666666666,1,1
"1030122",115.9625,0.470833333333329,0,0
"1066749",112.579166666667,0.229166666666662,0,0
"1020857",113.245833333333,0.529166666666661,0,0
"660645",112.429166666667,2.87916666666666,0,0
"339250",115.8375,4.97916666666666,1,1
"565281",115.854166666667,3.50416666666666,0,0
"659666",114.9125,2.88749999999999,0,0
"843911",117.8875,1.68749999999999,0,0
"767282",117.8125,2.18749999999999,0,0
"372305",114.6125,4.76249999999999,0,0
"520714",116.920833333334,3.79583333333333,0,0
"1622373",113.654166666667,-3.39583333333334,0,0
"1343870",112.679166666667,-1.57916666666667,0,0
"1119478",115.679166666667,-0.112500000000005,0,0
"618834",115.179166666667,3.15416666666666,0,0
"966430",117.279166666667,0.887499999999995,0,0
"831731",112.1625,1.76249999999999,0,0
"63576",117.154166666667,6.77916666666666,0,0
"1567576",114.604166666667,-3.0375,0,0
"1180211",110.9875,-0.512500000000005,0,0
"1502247",112.920833333333,-2.61250000000001,0,0
"663737",116.9125,2.86249999999999,0,0
"1337312",111.2375,-1.5375,0,0
"1126425",109.720833333333,-0.162500000000005,0,0
"1037062",109.945833333333,0.420833333333328,0,0
"600816",114.0125,3.27083333333333,0,0
"1355224",111.520833333333,-1.65416666666667,0,0
"789803",113.9375,2.03749999999999,0,0
"515642",117.220833333334,3.82916666666666,0,0
"1046622",115.120833333334,0.362499999999995,0,0
"509247",117.1375,3.87083333333333,0,0
"881546",112.2625,1.43749999999999,0,0
"1136060",115.520833333334,-0.220833333333339,0,0
"399205",115.304166666667,4.58749999999999,0,0
"1115593",115.229166666667,-0.0875000000000048,0,0
"1380713",111.095833333333,-1.82083333333334,0,0
"603567",115.654166666667,3.25416666666666,0,0
"1416769",113.595833333333,-2.05416666666667,0,0
